Problem,Solution,Category,Tags,Accuracy
MacBook's disk ejecting automatically,"1. Ensure disk is not damaged. 2. Restart MacBook. 3. Reset SMC. 4. Use Disk Utility to mount disk. 5. If ejection persists, consult Apple support.",Macbook,"disk,ejecting,SMC",100%
MacBook's Touch Bar not responding,"1. Update macOS. 2. Restart MacBook. 3. Reset Touch Bar's software. 4. Check Touch Bar preferences. 5. If unresponsiveness persists, consult Apple support.",Macbook,"Touch Bar,responding,software",100%
MacBook's Facetime not activating,"1. Check internet connection. 2. Ensure Apple ID is valid. 3. Update macOS. 4. Check Date & Time settings. 5. If activation issues persist, consult Apple support.",Macbook,"Facetime,activating,Apple ID",100%
MacBook's Trackpad unresponsive,"1. Clean trackpad surface. 2. Update macOS. 3. Reset SMC. 4. Check Accessibility settings. 5. If trackpad remains unresponsive, consult Apple support.",Macbook,"Trackpad,unresponsive,SMC",100%
MacBook's Safari can't establish secure connection,"1. Check date and time settings. 2. Clear Safari cache. 3. Update macOS. 4. Try a different network. 5. If connection issues persist, consult Apple support.",Macbook,"Safari,secure connection,cache",100%
MacBook's Notification Center not working,"1. Restart MacBook. 2. Update macOS. 3. Check System Preferences settings. 4. Test in a new user account. 5. If Notification Center issues persist, consult Apple support.",Macbook,"Notification Center,working,settings",100%
MacBook's keyboard keys sticking,"1. Clean keys with compressed air. 2. Gently pop off and clean the key. 3. Update macOS. 4. Check for physical damage. 5. If sticking persists, consult Apple support.",Macbook,"keyboard,keys,sticking",100%
MacBook's external monitor not detected,"1. Check cables and connectors. 2. Restart MacBook. 3. Update macOS. 4. Reset NVRAM/PRAM. 5. If monitor detection issues persist, consult Apple support.",Macbook,"external monitor,detected,cables",100%
MacBook's Calendar app not syncing,"1. Check internet connection. 2. Ensure you're signed into the correct Apple ID. 3. Update macOS. 4. Check Calendar settings. 5. If sync issues persist, consult Apple support.",Macbook,"Calendar app,syncing,Apple ID",100%
MacBook's audio output switching randomly,"1. Check Sound settings in System Preferences. 2. Update macOS. 3. Reset PRAM/NVRAM. 4. Test with external speakers. 5. If audio issues persist, consult Apple support.",Macbook,"audio,output,switching",100%
MacBook's Reminders app not alerting,"1. Check Notification settings. 2. Ensure Do Not Disturb is off. 3. Update macOS. 4. Restart Reminders app. 5. If alert issues persist, consult Apple support.",Macbook,"Reminders app,alerting,Notification",100%
MacBook not connecting to VPN,"1. Check internet connection. 2. Reconfigure VPN settings. 3. Update macOS. 4. Restart VPN service. 5. If VPN connection issues persist, consult Apple support.",Macbook,"VPN,connecting,settings",100%
MacBook's iMessage not sending or receiving,"1. Check internet connection. 2. Sign out and sign back into iMessage. 3. Update macOS. 4. Reset iMessage settings. 5. If iMessage issues persist, consult Apple support.",Macbook,"iMessage,sending,receiving",100%
MacBook's Apple Pay not working,"1. Ensure region supports Apple Pay. 2. Check internet connection. 3. Update macOS. 4. Verify card details. 5. If Apple Pay issues persist, consult Apple support.",Macbook,"Apple Pay,working,region",100%
MacBook's printer not found or connecting,"1. Check printer connection. 2. Restart printer. 3. Update macOS and printer drivers. 4. Reset printer system. 5. If printer connection issues persist, consult Apple support.",Macbook,"printer,found,drivers",100%
MacBook's Siri not responding or slow,"1. Check microphone and internet connection. 2. Restart Siri. 3. Update macOS. 4. Reset Siri settings. 5. If Siri issues persist, consult Apple support.",Macbook,"Siri,responding,microphone",100%
MacBook's Podcasts app not downloading episodes,"1. Check internet connection. 2. Restart Podcasts app. 3. Update macOS. 4. Clear app cache. 5. If download issues persist, consult Apple support.",Macbook,"Podcasts app,downloading,episodes",100%
MacBook's Archive Utility not unzipping files,"1. Check file format. 2. Try a different unzipping tool. 3. Update macOS. 4. Redownload the file. 5. If unzipping issues persist, consult Apple support.",Macbook,"Archive Utility,unzipping,files",100%
MacBook's Spotlight search not finding files,"1. Check Spotlight preferences. 2. Rebuild Spotlight index. 3. Update macOS. 4. Verify file location. 5. If search issues persist, consult Apple support.",Macbook,"Spotlight,search,index",100%
MacBook's battery draining quickly,"1. Check battery health status. 2. Monitor apps with high energy consumption. 3. Adjust screen brightness. 4. Update macOS. 5. If battery drain persists, consult Apple support.",Macbook,"battery,draining,energy",100%
MacBook's microphone not working,"1. Check Sound preferences. 2. Ensure no external devices are interfering. 3. Update macOS. 4. Test with another app. 5. If microphone issues persist, consult Apple support.",Macbook,"microphone,working,Sound",100%
MacBook overheating,"1. Ensure vents aren't blocked. 2. Close energy-intensive apps. 3. Update macOS. 4. Reset SMC. 5. If overheating persists, consult Apple support.",Macbook,"overheating,vents,SMC",100%
MacBook's AirDrop not working,"1. Ensure Bluetooth and Wi-Fi are on. 2. Check AirDrop settings. 3. Update macOS. 4. Restart MacBook. 5. If AirDrop issues persist, consult Apple support.",Macbook,"AirDrop,Bluetooth,Wi-Fi",100%
MacBook's Disk Utility not repairing disk,"1. Restart in Recovery Mode. 2. Try a different repair tool. 3. Back up important data. 4. Reformat disk. 5. If repair issues persist, consult Apple support.",Macbook,"Disk Utility,repairing,Recovery Mode",100%
MacBook not recognizing SD card,"1. Clean SD card slot. 2. Try a different SD card. 3. Update macOS. 4. Check Finder preferences. 5. If SD card issues persist, consult Apple support.",Macbook,"SD card,recognizing,Finder",100%
MacBook's Notes app crashing,"1. Restart Notes app. 2. Update macOS. 3. Check for app-specific updates. 4. Reset app preferences. 5. If crashing persists, consult Apple support.",Macbook,"Notes app,crashing,reset",100%
MacBook's dictation not working,"1. Check internet connection. 2. Ensure microphone is functioning. 3. Update macOS. 4. Toggle dictation settings. 5. If dictation issues persist, consult Apple support.",Macbook,"dictation,microphone,toggle",100%
MacBook's location services inaccurate,"1. Ensure Wi-Fi is enabled. 2. Calibrate by moving in a figure-8 pattern. 3. Update macOS. 4. Check location settings. 5. If accuracy issues persist, consult Apple support.",Macbook,"location services,calibrate,Wi-Fi",100%
MacBook's QuickTime not playing videos,"1. Check file format. 2. Update QuickTime. 3. Update macOS. 4. Try a different video player. 5. If playback issues persist, consult Apple support.",Macbook,"QuickTime,playing,videos",100%
MacBook's Sleep mode not working,"1. Check Energy Saver settings. 2. Update macOS. 3. Reset SMC. 4. Disable 'Wake for network access'. 5. If Sleep mode issues persist, consult Apple support.",Macbook,"Sleep mode,Energy Saver,SMC",100%
MacBook's Digital Color Meter not accurate,"1. Calibrate display. 2. Ensure ambient light isn't interfering. 3. Update macOS. 4. Check tool settings. 5. If accuracy issues persist, consult Apple support.",Macbook,"Digital Color Meter,calibrate,ambient light",100%
MacBook's Terminal commands not executing,"1. Check command syntax. 2. Ensure you have proper permissions. 3. Update macOS. 4. Try an alternative Terminal app. 5. If execution issues persist, consult Apple support.",Macbook,"Terminal,commands,permissions",100%
MacBook's Weather app not updating,"1. Check internet connection. 2. Ensure location services are enabled. 3. Update macOS. 4. Restart Weather app. 5. If update issues persist, consult Apple support.",Macbook,"Weather app,updating,location services",100%
MacBook making strange noises,"1. Identify if it's fan or hard drive noise. 2. Check for obstructions or dust. 3. Update macOS. 4. Reset SMC. 5. If noise persists, consult Apple support.",Macbook,"noises,fan,SMC",100%
MacBook's Stocks app not syncing,"1. Check internet connection. 2. Restart Stocks app. 3. Update macOS. 4. Sign out and sign in to iCloud. 5. If sync issues persist, consult Apple support.",Macbook,"Stocks app,syncing,iCloud",100%
MacBook's Bluetooth not pairing,"1. Ensure device is in pairing mode. 2. Restart MacBook. 3. Reset Bluetooth module. 4. Update macOS. 5. If pairing issues persist, consult Apple support.",Macbook,"Bluetooth,pairing,module",100%
MacBook's Time Machine backups failing,"1. Ensure sufficient storage on backup disk. 2. Check connection to backup disk. 3. Update macOS. 4. Restart Time Machine. 5. If backup issues persist, consult Apple support.",Macbook,"Time Machine,backups,storage",100%
MacBook's App Store not downloading apps,"1. Check internet connection. 2. Sign out and sign in to Apple ID. 3. Update macOS. 4. Clear App Store cache. 5. If download issues persist, consult Apple support.",Macbook,"App Store,downloading,cache",100%
MacBook's Mail app not sending emails,"1. Check internet connection. 2. Ensure correct outgoing server settings. 3. Update macOS. 4. Restart Mail app. 5. If email issues persist, consult Apple support.",Macbook,"Mail app,sending,outgoing server",100%
MacBook's webcam not working,"1. Check for obstructions on camera. 2. Restart MacBook. 3. Check Camera Privacy settings. 4. Update macOS. 5. If camera issues persist, consult Apple support.",Macbook,"webcam,working,Privacy settings",100%
MacBook's audio distorted,"1. Adjust volume. 2. Check audio output settings. 3. Restart MacBook. 4. Update macOS. 5. If audio issues persist, consult Apple support.",Macbook,"audio,distorted,output",100%
MacBook's trackpad unresponsive,"1. Check for external obstructions. 2. Restart MacBook. 3. Reset SMC. 4. Update macOS. 5. If trackpad issues persist, consult Apple support.",Macbook,"trackpad,unresponsive,SMC",100%
MacBook's Safari browser crashing,"1. Clear browsing history and cache. 2. Disable extensions. 3. Restart Safari. 4. Update macOS. 5. If crashing persists, consult Apple support.",Macbook,"Safari,browser,extensions",100%
MacBook's screen flickering,"1. Adjust screen brightness. 2. Check for software updates. 3. Reset NVRAM. 4. Boot in Safe Mode. 5. If flickering persists, consult Apple support.",Macbook,"screen,flickering,NVRAM",100%
MacBook unable to connect to Wi-Fi,"1. Restart Wi-Fi router. 2. Forget Wi-Fi network and reconnect. 3. Update macOS. 4. Reset network settings. 5. If connection issues persist, consult Apple support.",Macbook,"Wi-Fi,connect,network",100%
MacBook's Messages app not syncing,"1. Sign out and sign in to iCloud. 2. Check internet connection. 3. Update macOS. 4. Restart Messages app. 5. If syncing issues persist, consult Apple support.",Macbook,"Messages app,syncing,iCloud",100%
MacBook's iMovie crashing during export,"1. Free up storage space. 2. Check for iMovie updates. 3. Restart MacBook. 4. Try exporting in a different format. 5. If crashing persists, consult Apple support.",Macbook,"iMovie,crashing,export",100%
MacBook's keyboard backlight not working,"1. Adjust keyboard brightness. 2. Reset SMC. 3. Check for macOS updates. 4. Ensure no software is interfering. 5. If backlight issues persist, consult Apple support.",Macbook,"keyboard,backlight,SMC",100%
MacBook's Preview app not opening PDFs,"1. Check if PDF is corrupted. 2. Update macOS. 3. Try another PDF viewer. 4. Restart MacBook. 5. If PDF issues persist, consult Apple support.",Macbook,"Preview app,PDF,viewer",100%
MacBook's Calendar app events missing,"1. Check iCloud sync settings. 2. Ensure correct calendar is displayed. 3. Update macOS. 4. Restart Calendar app. 5. If event issues persist, consult Apple support.",Macbook,"Calendar app,events,iCloud",100%
MacBook's Facetime not connecting calls,"1. Check internet connection. 2. Ensure you're signed into FaceTime. 3. Update macOS. 4. Restart FaceTime app. 5. If connection issues persist, consult Apple support.",Macbook,"Facetime,connecting,calls",100%
MacBook's iTunes not recognizing iPhone,"1. Check USB cable and port. 2. Ensure iPhone is unlocked. 3. Update iTunes and macOS. 4. Restart both MacBook and iPhone. 5. If recognition issues persist, consult Apple support.",Macbook,"iTunes,iPhone,USB",100%
MacBook's Photos app not importing,"1. Check connection to importing device. 2. Ensure adequate storage. 3. Update macOS. 4. Restart Photos app. 5. If import issues persist, consult Apple support.",Macbook,"Photos app,importing,storage",100%
MacBook's Reminders app not notifying,"1. Check Notification settings. 2. Ensure app has permissions. 3. Update macOS. 4. Restart Reminders app. 5. If notification issues persist, consult Apple support.",Macbook,"Reminders app,notifying,permissions",100%
MacBook's GarageBand not saving projects,"1. Ensure adequate storage space. 2. Check project path. 3. Update GarageBand and macOS. 4. Try saving to a different location. 5. If saving issues persist, consult Apple support.",Macbook,"GarageBand,saving,projects",100%
MacBook's Contacts app not syncing,"1. Ensure syncing is enabled in iCloud settings. 2. Check internet connection. 3. Update macOS. 4. Restart Contacts app. 5. If syncing issues persist, consult Apple support.",Macbook,"Contacts app,syncing,iCloud",100%
MacBook's Disk ejecting improperly,"1. Use 'Eject' option before removal. 2. Ensure disk is not in use. 3. Update macOS. 4. Check Disk Utility for errors. 5. If ejection issues persist, consult Apple support.",Macbook,"Disk,ejecting,Utility",100%
MacBook's Calculator app giving wrong results,"1. Ensure correct operation mode. 2. Reset Calculator app. 3. Update macOS. 4. Try another calculator app. 5. If result issues persist, consult Apple support.",Macbook,"Calculator app,results,operation",100%
MacBook's Touch ID not working,"1. Clean Touch ID sensor. 2. Re-register fingerprints. 3. Update macOS. 4. Restart MacBook. 5. If Touch ID issues persist, consult Apple support.",Macbook,"Touch ID,sensor,fingerprints",100%
MacBook's System Preferences not opening,"1. Restart MacBook. 2. Update macOS. 3. Boot in Safe Mode. 4. Check for conflicting apps. 5. If issues persist, consult Apple support.",Macbook,"System Preferences,opening,Safe Mode",100%
MacBook's Siri not responding,"1. Check internet connection. 2. Ensure Siri is enabled in settings. 3. Update macOS. 4. Reboot MacBook. 5. If Siri issues persist, consult Apple support.",Macbook,"Siri,responding,settings",100%
MacBook's Notes app crashing,"1. Check for app updates. 2. Restart MacBook. 3. Disable iCloud sync and re-enable. 4. Check for macOS updates. 5. If crashing persists, consult Apple support.",Macbook,"Notes app,crashing,iCloud",100%
MacBook's external display not detected,"1. Check cable connections. 2. Restart MacBook. 3. Update macOS. 4. Check display settings. 5. If detection issues persist, consult Apple support.",Macbook,"external display,detected,cable",100%
MacBook overheating during normal use,"1. Place on a hard, flat surface. 2. Check for software updates. 3. Monitor background processes. 4. Reset SMC. 5. If overheating persists, consult Apple support.",Macbook,"overheating,SMC,background processes",100%
MacBook's AirDrop not working,"1. Ensure both devices have AirDrop enabled and are discoverable. 2. Check Wi-Fi and Bluetooth connections. 3. Restart both devices. 4. Update macOS. 5. If AirDrop issues persist, consult Apple support.",Macbook,"AirDrop,discoverable,Bluetooth",100%
MacBook's Mission Control lagging,"1. Check for software updates. 2. Reduce number of open windows/apps. 3. Restart MacBook. 4. Adjust display settings. 5. If lag persists, consult Apple support.",Macbook,"Mission Control,lagging,display settings",100%
MacBook's Activity Monitor not showing processes,"1. Refresh Activity Monitor. 2. Restart MacBook. 3. Ensure you have necessary permissions. 4. Update macOS. 5. If issues persist, consult Apple support.",Macbook,"Activity Monitor,processes,permissions",100%
MacBook's battery draining quickly,"1. Adjust screen brightness. 2. Monitor background apps. 3. Update macOS. 4. Check battery health. 5. If draining persists, consult Apple support.",Macbook,"battery,draining,background apps",100%
MacBook's Widgets not updating,"1. Ensure internet connection. 2. Restart MacBook. 3. Update macOS. 4. Check Widget settings. 5. If updating issues persist, consult Apple support.",Macbook,"Widgets,updating,settings",100%
MacBook's Sleep mode not activating,"1. Check energy saver settings. 2. Close open apps. 3. Update macOS. 4. Restart MacBook. 5. If sleep issues persist, consult Apple support.",Macbook,"Sleep mode,activating,energy saver",100%
MacBook's Hot Corners not working,"1. Check Hot Corners settings. 2. Restart MacBook. 3. Update macOS. 4. Test in a new user account. 5. If issues persist, consult Apple support.",Macbook,"Hot Corners,working,user account",100%
MacBook's Finder not showing files,"1. Relaunch Finder. 2. Check view settings. 3. Restart MacBook. 4. Verify disk permissions. 5. If visibility issues persist, consult Apple support.",Macbook,"Finder,files,disk permissions",100%
MacBook's mouse pointer disappearing,"1. Move mouse or swipe trackpad. 2. Adjust cursor size settings. 3. Restart MacBook. 4. Update macOS. 5. If pointer issues persist, consult Apple support.",Macbook,"mouse pointer,disappearing,cursor size",100%
MacBook's Dictation feature not working,"1. Check internet connection. 2. Ensure microphone is working. 3. Update macOS. 4. Turn Dictation off and on. 5. If dictation issues persist, consult Apple support.",Macbook,"Dictation,microphone,feature",100%
MacBook's speakers producing static noise,"1. Adjust volume. 2. Check for software updates. 3. Restart MacBook. 4. Test with external speakers. 5. If static persists, consult Apple support.",Macbook,"speakers,static noise,volume",100%
MacBook's auto-brightness not adjusting,"1. Go to System Preferences > Displays > Adjust brightness automatically. 2. Check ambient light sensor. 3. Update macOS. 4. Restart MacBook. 5. If issues persist, consult Apple support.",Macbook,"auto-brightness,ambient light,sensor",100%
MacBook's TextEdit not saving changes,"1. Check storage space. 2. Update macOS. 3. Restart TextEdit. 4. Save file under a new name. 5. If saving issues persist, consult Apple support.",Macbook,"TextEdit,saving,changes",100%
MacBook's Virtual Desktops glitching,"1. Update macOS. 2. Restart MacBook. 3. Disable and re-enable virtual desktops. 4. Test in a new user account. 5. If glitches persist, consult Apple support.",Macbook,"Virtual Desktops,glitching,user account",100%
MacBook's voiceover feature not reading text,"1. Check VoiceOver settings. 2. Restart MacBook. 3. Update macOS. 4. Test with different text sources. 5. If reading issues persist, consult Apple support.",Macbook,"voiceover,reading,text sources",100%
MacBook's Notification Center not displaying notifications,"1. Check System Preferences > Notifications. 2. Ensure Do Not Disturb is off. 3. Restart MacBook. 4. Update macOS. 5. If issues persist, consult Apple support.",Macbook,"Notification Center,notifications,Do Not Disturb",100%
MacBook's login screen appearing distorted,"1. Restart in Safe Mode. 2. Update macOS. 3. Check for graphic driver updates. 4. Adjust screen resolution. 5. If distortion persists, consult Apple support.",Macbook,"login screen,distorted,graphic driver",100%
MacBook's Quick Look not previewing files,"1. Press Spacebar again. 2. Restart MacBook. 3. Update macOS. 4. Rebuild Spotlight index. 5. If previewing issues persist, consult Apple support.",Macbook,"Quick Look,previewing,Spotlight",100%
MacBook's USB-C port not charging,"1. Check and clean USB-C port. 2. Use a different charger. 3. Restart MacBook. 4. Update macOS. 5. If charging issues persist, consult Apple support.",Macbook,"USB-C,port,charging",100%
MacBook's Messages app not syncing,"1. Ensure iCloud is enabled. 2. Check internet connection. 3. Sign out and sign in to iCloud. 4. Update macOS. 5. If syncing issues persist, consult Apple support.",Macbook,"Messages,app,syncing",100%
MacBook's camera not turning on for FaceTime,"1. Ensure camera permissions are granted. 2. Restart MacBook. 3. Update macOS. 4. Check if camera is working in other apps. 5. If issues persist, consult Apple support.",Macbook,"camera,FaceTime,permissions",100%
MacBook's Mail app not fetching new emails,"1. Check internet connection. 2. Refresh Mail app. 3. Re-enter email credentials. 4. Update macOS. 5. If fetching issues persist, consult Apple support.",Macbook,"Mail app,fetching,email",100%
MacBook's Preview app freezing frequently,"1. Close excess tabs. 2. Update macOS. 3. Restart MacBook. 4. Test with different files. 5. If freezing continues, consult Apple support.",Macbook,"Preview app,freezing,tabs",100%
MacBook's Desktop icons disappearing,"1. Right-click > 'Show Desktop Icons'. 2. Restart Finder. 3. Update macOS. 4. Check screen resolution settings. 5. If icons are still missing, consult Apple support.",Macbook,"Desktop,icons,disappearing",100%
MacBook's Disk Utility not recognizing disk,"1. Reconnect the disk. 2. Restart MacBook. 3. Try a different USB port. 4. Update macOS. 5. If recognition issues persist, consult Apple support.",Macbook,"Disk Utility,recognizing,disk",100%
MacBook's keyboard backlight not working,"1. Adjust backlight via F5/F6. 2. Check System Preferences > Keyboard. 3. Restart MacBook. 4. Reset SMC. 5. If backlight issues persist, consult Apple support.",Macbook,"keyboard,backlight,SMC",100%
MacBook's Reminders app not sending notifications,"1. Check app's notification settings. 2. Ensure Do Not Disturb is off. 3. Update macOS. 4. Restart MacBook. 5. If notification issues persist, consult Apple support.",Macbook,"Reminders,app,notifications",100%
MacBook producing high-pitched noise,"1. Check for running background apps. 2. Reset SMC. 3. Update macOS. 4. Place MacBook on a hard surface. 5. If noise continues, consult Apple support.",Macbook,"high-pitched,noise,SMC",100%
MacBook's News app not loading articles,"1. Check internet connection. 2. Restart the News app. 3. Update macOS. 4. Clear app cache. 5. If loading issues persist, consult Apple support.",Macbook,"News app,loading,articles",100%
MacBook's System Integrity Protection (SIP) not enabling,"1. Restart in Recovery Mode. 2. Use Terminal to enable SIP. 3. Restart MacBook. 4. Verify SIP status. 5. If enabling fails, consult Apple support.",Macbook,"SIP,enabling,Recovery Mode",100%
MacBook's Location Services not working,"1. Check System Preferences > Security & Privacy. 2. Ensure apps have location permissions. 3. Restart MacBook. 4. Update macOS. 5. If location issues persist, consult Apple support.",Macbook,"Location Services,working,permissions",100%
MacBook's iBooks not syncing with iCloud,"1. Ensure iCloud Drive is enabled for iBooks. 2. Check internet connection. 3. Sign out and back into iCloud. 4. Update macOS. 5. If syncing issues persist, consult Apple support.",Macbook,"iBooks,syncing,iCloud",100%
MacBook's Terminal not executing commands,"1. Ensure correct syntax. 2. Check user permissions. 3. Update macOS. 4. Restart Terminal. 5. If execution issues persist, consult Apple support.",Macbook,"Terminal,executing,commands",100%
MacBook's Dock disappearing,"1. Move cursor to screen bottom. 2. Check System Preferences > Dock. 3. Restart MacBook. 4. Reset Dock settings. 5. If disappearance persists, consult Apple support.",Macbook,"Dock,disappearing,cursor",100%
MacBook's Handoff feature not working,"1. Ensure Handoff is enabled on both devices. 2. Check that both devices are on the same Wi-Fi. 3. Restart MacBook. 4. Update macOS. 5. If Handoff issues persist, consult Apple support.",Macbook,"Handoff,feature,devices",100%
MacBook overheating during charging,"1. Ensure using official Apple charger. 2. Place MacBook on a hard, flat surface. 3. Close any resource-intensive apps. 4. Reset SMC. 5. If overheating persists, consult Apple support.",Macbook,"overheating,charging,SMC",100%
MacBook's screen flickering intermittently,"1. Adjust screen brightness. 2. Check for macOS updates. 3. Restart MacBook. 4. Test in an external monitor. 5. If flickering continues, consult Apple support.",Macbook,"screen,flickering,brightness",100%
MacBook's Bluetooth not pairing with devices,"1. Ensure device is in pairing mode. 2. Restart Bluetooth on MacBook. 3. Restart MacBook. 4. Update macOS. 5. If pairing issues persist, consult Apple support.",Macbook,"Bluetooth,pairing,devices",100%
MacBook's Finder not responding,"1. Force quit Finder. 2. Clear Finder's cache. 3. Restart MacBook. 4. Update macOS. 5. If responsiveness issues persist, consult Apple support.",Macbook,"Finder,not responding,cache",100%
MacBook's microphone not picking up sound,"1. Check System Preferences > Sound. 2. Ensure no obstructions near the microphone. 3. Test with another app. 4. Restart MacBook. 5. If issues persist, consult Apple support.",Macbook,"microphone,sound,obstructions",100%
MacBook's speakers producing static noise,"1. Adjust volume level. 2. Check for external interferences. 3. Restart MacBook. 4. Update macOS. 5. If static noise persists, consult Apple support.",Macbook,"speakers,static noise,volume",100%
MacBook unable to connect to a specific Wi-Fi,"1. Forget the network and reconnect. 2. Reset network settings. 3. Restart MacBook. 4. Update macOS. 5. If connection issues persist, consult Apple support.",Macbook,"Wi-Fi,connect,network",100%
MacBook's touchpad not recognizing gestures,"1. Check System Preferences > Trackpad. 2. Clean the trackpad surface. 3. Restart MacBook. 4. Update macOS. 5. If gesture issues persist, consult Apple support.",Macbook,"touchpad,gestures,Trackpad",100%
MacBook's Siri not activating,"1. Check System Preferences > Siri. 2. Ensure MacBook's microphone is working. 3. Restart MacBook. 4. Update macOS. 5. If Siri issues persist, consult Apple support.",Macbook,"Siri,activating,microphone",100%
MacBook not recognizing external hard drive,"1. Check cable connections. 2. Test on another USB port. 3. Restart MacBook. 4. Check Disk Utility for drive. 5. If recognition issues persist, consult Apple support.",Macbook,"external hard drive,recognizing,USB",100%
MacBook's screen not auto-adjusting brightness,"1. Check System Preferences > Displays. 2. Clean ambient light sensor. 3. Restart MacBook. 4. Reset SMC. 5. If adjustment issues persist, consult Apple support.",Macbook,"screen,brightness,ambient light sensor",100%
MacBook's Time Machine backups failing,"1. Ensure sufficient external storage space. 2. Check USB connection. 3. Restart MacBook. 4. Update macOS. 5. If backup issues persist, consult Apple support.",Macbook,"Time Machine,backups,failing",100%
MacBook's Calendar app not sending alerts,"1. Check System Preferences > Notifications. 2. Ensure alerts are enabled in Calendar app. 3. Restart MacBook. 4. Update macOS. 5. If alert issues persist, consult Apple support.",Macbook,"Calendar,alerts,Notifications",100%
MacBook's audio jack not working,"1. Ensure headphones are plugged in properly. 2. Check System Preferences > Sound. 3. Restart MacBook. 4. Test with different headphones. 5. If jack issues persist, consult Apple support.",Macbook,"audio jack,headphones,Sound",100%
MacBook's battery indicator showing wrong percentage,"1. Calibrate the battery. 2. Reset SMC. 3. Update macOS. 4. Check battery health status. 5. If indicator issues persist, consult Apple support.",Macbook,"battery,indicator,percentage",100%
MacBook's Photos app crashing constantly,"1. Update the Photos app. 2. Clear app cache. 3. Restart MacBook. 4. Check for macOS updates. 5. If crashing continues, consult Apple support.",Macbook,"Photos app,crashing,cache",100%
MacBook unable to detect second display,"1. Check cable connections. 2. Ensure the display is powered on. 3. Restart MacBook. 4. Check System Preferences > Displays. 5. If detection issues persist, consult Apple support.",Macbook,"second display,detect,connections",100%
MacBook's Mail app not sending emails,"1. Check internet connection. 2. Verify SMTP settings. 3. Restart the Mail app. 4. Update macOS. 5. If sending issues persist, consult Apple support.",Macbook,"Mail app,sending,SMTP",100%
MacBook's split view not working,"1. Ensure both apps support split view. 2. Check System Preferences > Mission Control. 3. Restart MacBook. 4. Update macOS. 5. If split view issues persist, consult Apple support.",Macbook,"split view,working,Mission Control",100%
MacBook showing incorrect time and date,"1. Check System Preferences > Date & Time. 2. Ensure location services are enabled. 3. Restart MacBook. 4. Reset PRAM/NVRAM. 5. If issues persist, consult Apple support.",Macbook,"time and date,incorrect,PRAM",100%
MacBook's webcam not turning on,"1. Check System Preferences > Security & Privacy > Camera. 2. Close any apps that might use the camera. 3. Restart MacBook. 4. Update macOS. 5. If the issue persists, consult Apple support.",Macbook,"webcam,camera,Security",100%
MacBook's keyboard backlight not working,"1. Adjust keyboard brightness using F5 and F6. 2. Ensure ambient light isn't too bright. 3. Restart MacBook. 4. Reset SMC. 5. If the issue persists, consult Apple support.",Macbook,"keyboard,backlight,brightness",100%
MacBook not recognizing connected printer,"1. Ensure printer is powered on. 2. Check cable connections. 3. Update printer drivers. 4. Restart MacBook and printer. 5. If the issue persists, consult Apple support.",Macbook,"printer,recognizing,drivers",100%
MacBook's iMessage not syncing with iPhone,"1. Ensure both devices are on the same Apple ID. 2. Check iMessage settings on both devices. 3. Restart both devices. 4. Update macOS and iOS. 5. If syncing issues persist, consult Apple support.",Macbook,"iMessage,syncing,iPhone",100%
MacBook's sound not working with external speakers,"1. Check cable connection. 2. Ensure external speakers are powered on. 3. Check System Preferences > Sound. 4. Update macOS. 5. If sound issues persist, consult Apple support.",Macbook,"sound,external speakers,connection",100%
MacBook's apps taking too long to open,"1. Clear cache and app data. 2. Ensure enough free storage space. 3. Restart MacBook. 4. Update the apps and macOS. 5. If slow apps persist, consult Apple support.",Macbook,"apps,slow,cache",100%
MacBook's Safari can't load certain websites,"1. Clear Safari cache and cookies. 2. Check your internet connection. 3. Update Safari. 4. Disable extensions. 5. If loading issues persist, consult Apple support.",Macbook,"Safari,load,websites",100%
MacBook's FaceTime camera quality is poor,"1. Clean the camera lens. 2. Ensure adequate lighting. 3. Restart MacBook. 4. Check for macOS updates. 5. If quality issues persist, consult Apple support.",Macbook,"FaceTime,camera quality,lens",100%
MacBook's AirDrop not working,"1. Ensure both devices have AirDrop and Bluetooth turned on. 2. Devices should be close to each other. 3. Restart MacBook. 4. Update macOS. 5. If AirDrop issues persist, consult Apple support.",Macbook,"AirDrop,Bluetooth,devices",100%
MacBook's touch bar freezing,"1. Force quit any unresponsive apps. 2. Refresh the Touch Bar by pressing Command + Option + Esc. 3. Restart MacBook. 4. Reset SMC. 5. If freezing persists, consult Apple support.",Macbook,"touch bar,freezing,SMC",100%
MacBook's speakers have low volume,"1. Check System Preferences > Sound. 2. Ensure no debris in speaker grills. 3. Reset PRAM/NVRAM. 4. Update macOS. 5. If volume issues persist, consult Apple support.",Macbook,"speakers,volume,debris",100%
MacBook's screen has dead pixels,"1. Turn off MacBook and gently rub affected area. 2. Use a pixel-fixing software tool. 3. Reset PRAM/NVRAM. 4. Update macOS. 5. If dead pixels remain, consult Apple support.",Macbook,"screen,dead pixels,rub",100%
MacBook doesn't go to sleep mode,"1. Check System Preferences > Energy Saver settings. 2. Close all open apps. 3. Reset SMC. 4. Check for peripheral devices. 5. If sleep issues persist, consult Apple support.",Macbook,"sleep mode,Energy Saver,SMC",100%
MacBook's iTunes not recognizing iPhone,"1. Ensure using an official Apple cable. 2. Update iTunes. 3. Restart MacBook and iPhone. 4. Reset iPhone's Trust settings. 5. If recognition issues persist, consult Apple support.",Macbook,"iTunes,iPhone,cable",100%
